,Airline,Source,Destination,Total_Stops,prediction
8000,4.0,0.0,5.0,1,693.2726763469449
8001,1.0,3.0,0.0,2,1309.5211834540023
8002,8.0,3.0,0.0,0,200.49071267504328
8003,10.0,3.0,0.0,1,738.4936367543612
8004,4.0,0.0,5.0,1,693.2726763469449
8005,3.0,3.0,0.0,1,759.5093056945668
8006,1.0,2.0,1.0,2,1297.4240258036184
8007,10.0,4.0,3.0,1,696.7049584518618
8008,1.0,3.0,0.0,1,765.5137825346256
8009,3.0,2.0,1.0,1,747.4121480441831
8010,3.0,2.0,1.0,1,747.4121480441831
8011,4.0,2.0,1.0,1,744.4099096241538
8012,6.0,2.0,1.0,1,738.405432784095
8013,1.0,2.0,1.0,0,209.40922396486528
8014,4.0,2.0,1.0,1,744.4099096241538
8015,10.0,0.0,2.0,0,171.66622187205425
8016,3.0,2.0,1.0,2,1291.41954896356
8017,8.0,1.0,4.0,0,149.35347939783438
8018,3.0,3.0,0.0,0,215.50190477519018
8019,1.0,2.0,1.0,1,753.416624884242
8020,6.0,2.0,1.0,1,738.405432784095
8021,3.0,3.0,0.0,0,215.50190477519018
8022,6.0,2.0,1.0,1,738.405432784095
8023,1.0,3.0,0.0,1,765.5137825346256
8024,1.0,2.0,1.0,2,1297.4240258036184
8025,4.0,4.0,3.0,1,714.718388972038
8026,10.0,0.0,5.0,0,131.25184490739193
8027,4.0,3.0,0.0,1,756.5070672745375
8028,4.0,3.0,0.0,1,756.5070672745375
8029,4.0,3.0,0.0,1,756.5070672745375
8030,4.0,3.0,0.0,1,756.5070672745375
8031,4.0,0.0,2.0,0,189.67965239223054
8032,4.0,2.0,1.0,2,1288.4173105435307
8033,4.0,3.0,0.0,1,756.5070672745375
8034,8.0,4.0,3.0,0,158.70203437254386
8035,4.0,2.0,1.0,1,744.4099096241538
8036,6.0,2.0,1.0,1,738.405432784095
8037,4.0,0.0,5.0,1,693.2726763469449
8038,4.0,3.0,0.0,1,756.5070672745375
8039,3.0,2.0,1.0,1,747.4121480441831
8040,1.0,0.0,5.0,2,1246.2867925264097
8041,4.0,2.0,1.0,1,744.4099096241538
8042,4.0,2.0,1.0,1,744.4099096241538
8043,4.0,3.0,0.0,1,756.5070672745375
8044,3.0,3.0,0.0,0,215.50190477519018
8045,4.0,4.0,3.0,0,170.71098805266138
8046,4.0,3.0,0.0,1,756.5070672745375
8047,4.0,2.0,1.0,1,744.4099096241538
8048,3.0,3.0,0.0,0,215.50190477519018
8049,1.0,2.0,1.0,2,1297.4240258036184
8050,4.0,3.0,0.0,1,756.5070672745375
8051,1.0,4.0,3.0,2,1267.7325051515027
8052,4.0,3.0,0.0,1,756.5070672745375
8053,6.0,2.0,1.0,1,738.405432784095
8054,1.0,0.0,2.0,0,198.6863676523187
8055,4.0,3.0,0.0,1,756.5070672745375
8056,6.0,2.0,1.0,1,738.405432784095
8057,3.0,0.0,2.0,0,192.68189081225992
8058,3.0,0.0,2.0,0,192.68189081225992
8059,3.0,2.0,1.0,1,747.4121480441831
8060,4.0,0.0,2.0,0,189.67965239223054
8061,3.0,4.0,3.0,0,173.71322647269076
8062,3.0,0.0,5.0,0,152.2675138475976
8063,8.0,3.0,0.0,1,744.4981135944199
8064,8.0,2.0,1.0,1,732.4009559440362
8065,4.0,2.0,1.0,2,1288.4173105435307
8066,2.0,3.0,0.0,1,762.5115441145963
8067,6.0,2.0,1.0,1,738.405432784095
8068,4.0,0.0,5.0,1,693.2726763469449
8069,4.0,2.0,1.0,2,1288.4173105435307
8070,4.0,0.0,2.0,0,189.67965239223054
8071,4.0,2.0,1.0,1,744.4099096241538
8072,3.0,0.0,2.0,0,192.68189081225992
8073,3.0,3.0,0.0,0,215.50190477519018
8074,3.0,2.0,1.0,1,747.4121480441831
8075,4.0,0.0,2.0,0,189.67965239223054
8076,4.0,3.0,0.0,1,756.5070672745375
8077,4.0,2.0,1.0,1,744.4099096241538
8078,1.0,2.0,1.0,1,753.416624884242
8079,4.0,0.0,2.0,0,189.67965239223054
8080,6.0,2.0,1.0,2,1282.4128337034717
8081,3.0,2.0,1.0,1,747.4121480441831
8082,6.0,2.0,1.0,1,738.405432784095
8083,10.0,4.0,3.0,1,696.7049584518618
8084,1.0,3.0,0.0,1,765.5137825346256
8085,3.0,4.0,3.0,0,173.71322647269076
